Census 2021 Data Zone Code,Census 2021 Data Zone Label,Household Deprivation Code,Household Deprivation Label,Count
N20000001,Dunsilly_A1,1,Household is not deprived in any dimension,135
N20000001,Dunsilly_A1,2,Household is deprived in 1 dimension,83
N20000001,Dunsilly_A1,3,Household is deprived in 2 dimensions,29
N20000001,Dunsilly_A1,4,Household is deprived in 3 dimensions,2
N20000001,Dunsilly_A1,5,Household is deprived in 4 dimensions,0
N20000002,Dunsilly_B1,1,Household is not deprived in any dimension,54
N20000002,Dunsilly_B1,2,Household is deprived in 1 dimension,49
N20000002,Dunsilly_B1,3,Household is deprived in 2 dimensions,19
N20000002,Dunsilly_B1,4,Household is deprived in 3 dimensions,5
N20000002,Dunsilly_B1,5,Household is deprived in 4 dimensions,0
N20000003,Dunsilly_A2,1,Household is not deprived in any dimension,58
N20000003,Dunsilly_A2,2,Household is deprived in 1 dimension,44
N20000003,Dunsilly_A2,3,Household is deprived in 2 dimensions,22
N20000003,Dunsilly_A2,4,Household is deprived in 3 dimensions,4
N20000003,Dunsilly_A2,5,Household is deprived in 4 dimensions,0
N20000004,Dunsilly_A3,1,Household is not deprived in any dimension,110
N20000004,Dunsilly_A3,2,Household is deprived in 1 dimension,83
N20000004,Dunsilly_A3,3,Household is deprived in 2 dimensions,23
N20000004,Dunsilly_A3,4,Household is deprived in 3 dimensions,4
N20000004,Dunsilly_A3,5,Household is deprived in 4 dimensions,0
N20000005,Dunsilly_B2,1,Household is not deprived in any dimension,117
N20000005,Dunsilly_B2,2,Household is deprived in 1 dimension,77
N20000005,Dunsilly_B2,3,Household is deprived in 2 dimensions,31
N20000005,Dunsilly_B2,4,Household is deprived in 3 dimensions,5
N20000005,Dunsilly_B2,5,Household is deprived in 4 dimensions,0
N20000006,Dunsilly_A4,1,Household is not deprived in any dimension,88
N20000006,Dunsilly_A4,2,Household is deprived in 1 dimension,47
N20000006,Dunsilly_A4,3,Household is deprived in 2 dimensions,24
N20000006,Dunsilly_A4,4,Household is deprived in 3 dimensions,7
N20000006,Dunsilly_A4,5,Household is deprived in 4 dimensions,3
N20000007,Dunsilly_C1,1,Household is not deprived in any dimension,135
N20000007,Dunsilly_C1,2,Household is deprived in 1 dimension,83
N20000007,Dunsilly_C1,3,Household is deprived in 2 dimensions,55
N20000007,Dunsilly_C1,4,Household is deprived in 3 dimensions,17
N20000007,Dunsilly_C1,5,Household is deprived in 4 dimensions,0
N20000008,Dunsilly_A5,1,Household is not deprived in any dimension,101
N20000008,Dunsilly_A5,2,Household is deprived in 1 dimension,91
N20000008,Dunsilly_A5,3,Household is deprived in 2 dimensions,37
N20000008,Dunsilly_A5,4,Household is deprived in 3 dimensions,7
N20000008,Dunsilly_A5,5,Household is deprived in 4 dimensions,0
N20000009,Dunsilly_A6,1,Household is not deprived in any dimension,73
N20000009,Dunsilly_A6,2,Household is deprived in 1 dimension,39
N20000009,Dunsilly_A6,3,Household is deprived in 2 dimensions,17
N20000009,Dunsilly_A6,4,Household is deprived in 3 dimensions,3
N20000009,Dunsilly_A6,5,Household is deprived in 4 dimensions,0
N20000010,Dunsilly_B3,1,Household is not deprived in any dimension,88
N20000010,Dunsilly_B3,2,Household is deprived in 1 dimension,66
N20000010,Dunsilly_B3,3,Household is deprived in 2 dimensions,21
N20000010,Dunsilly_B3,4,Household is deprived in 3 dimensions,7
N20000010,Dunsilly_B3,5,Household is deprived in 4 dimensions,0
N20000011,Dunsilly_D1,1,Household is not deprived in any dimension,75
N20000011,Dunsilly_D1,2,Household is deprived in 1 dimension,59
N20000011,Dunsilly_D1,3,Household is deprived in 2 dimensions,69
