Geography,Geography Code,All usual residents,Access census area explorer
Dunsilly_A1,N20000001,738,Dunsilly_A1 DZ profile
Dunsilly_B1,N20000002,331,Dunsilly_B1 DZ profile
Dunsilly_A2,N20000003,365,Dunsilly_A2 DZ profile
Dunsilly_A3,N20000004,663,Dunsilly_A3 DZ profile
Dunsilly_B2,N20000005,676,Dunsilly_B2 DZ profile
Dunsilly_A4,N20000006,464,Dunsilly_A4 DZ profile
Dunsilly_C1,N20000007,880,Dunsilly_C1 DZ profile
Dunsilly_A5,N20000008,642,Dunsilly_A5 DZ profile
Dunsilly_A6,N20000009,401,Dunsilly_A6 DZ profile
Dunsilly_B3,N20000010,544,Dunsilly_B3 DZ profile
Dunsilly_D1,N20000011,525,Dunsilly_D1 DZ profile
Dunsilly_D2,N20000012,503,Dunsilly_D2 DZ profile
Dunsilly_F1,N20000013,407,Dunsilly_F1 DZ profile
Dunsilly_D3,N20000014,506,Dunsilly_D3 DZ profile
Dunsilly_C2,N20000015,586,Dunsilly_C2 DZ profile
Dunsilly_E1,N20000016,453,Dunsilly_E1 DZ profile
Dunsilly_E2,N20000017,674,Dunsilly_E2 DZ profile
Dunsilly_E3,N20000018,486,Dunsilly_E3 DZ profile
Dunsilly_D4,N20000019,393,Dunsilly_D4 DZ profile
Dunsilly_D5,N20000020,562,Dunsilly_D5 DZ profile
Dunsilly_E4,N20000021,545,Dunsilly_E4 DZ profile
Dunsilly_C3,N20000022,441,Dunsilly_C3 DZ profile
Dunsilly_D6,N20000023,502,Dunsilly_D6 DZ profile
Dunsilly_C4,N20000024,620,Dunsilly_C4 DZ profile
Dunsilly_F2,N20000025,415,Dunsilly_F2 DZ profile
Dunsilly_B4,N20000026,554,Dunsilly_B4 DZ profile
Dunsilly_F3,N20000027,558,Dunsilly_F3 DZ profile
Dunsilly_F4,N20000028,550,Dunsilly_F4 DZ profile
Dunsilly_F5,N20000029,552,Dunsilly_F5 DZ profile
Dunsilly_B5,N20000030,496,Dunsilly_B5 DZ profile
Dunsilly_B6,N20000031,531,Dunsilly_B6 DZ profile
Dunsilly_F6,N20000032,459,Dunsilly_F6 DZ profile
Dunsilly_F7,N20000033,536,Dunsilly_F7 DZ profile
Dunsilly_F8,N20000034,439,Dunsilly_F8 DZ profile
Antrim_A1,N20000035,671,Antrim_A1 DZ profile
Antrim_A2,N20000036,374,Antrim_A2 DZ profile
Antrim_A3,N20000037,423,Antrim_A3 DZ profile
Antrim_B1,N20000038,628,Antrim_B1 DZ profile
